# Target Sample Rate: 400 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:17:25.451,,,,
time,Ï‰â‚“ (rad/s),Ï‰áµ§ (rad/s),Ï‰á¶» (rad/s),Ï‰_total (rad/s)
0.005617,-1.237,-0.685,0.018,1.414
0.016055,-1.177,-0.657,0.068,1.349
0.025823,-1.094,-0.623,0.02,1.259
0.03056,-0.948,-0.55,-0.107,1.101
0.03801,-0.909,-0.523,-0.129,1.057
0.040705,-0.763,-0.407,-0.161,0.88
0.043326,-0.71,-0.351,-0.163,0.809
0.045823,-0.66,-0.286,-0.159,0.737
0.048355,-0.604,-0.22,-0.151,0.66
0.055772,-0.544,-0.155,-0.133,0.581
0.058779,-0.369,0.046,-0.039,0.374
0.060927,-0.308,0.106,0.004,0.325
0.063579,-0.25,0.162,0.048,0.302
0.072304,-0.198,0.215,0.088,0.305
0.076288,-0.042,0.363,0.22,0.426
0.07885,-0.013,0.385,0.25,0.459
0.081366,0.009,0.409,0.281,0.497
0.08886,0.032,0.433,0.311,0.534
0.091385,0.087,0.524,0.376,0.651
0.094194,0.097,0.556,0.392,0.687
0.096911,0.109,0.585,0.408,0.721
0.09901,0.112,0.61,0.419,0.748
0.10798,0.115,0.629,0.43,0.771
0.111583,0.104,0.662,0.429,0.795
0.114442,0.111,0.683,0.427,0.813
0.121309,0.12,0.72,0.434,0.85
0.124329,0.129,0.811,0.471,0.947
0.126747,0.113,0.803,0.478,0.941
0.129313,0.089,0.778,0.48,0.918
0.131654,0.058,0.745,0.473,0.884
0.138189,0.022,0.711,0.461,0.847
0.138412,-0.013,0.689,0.451,0.824
0.139426,-0.051,0.684,0.436,0.813
0.142052,-0.086,0.693,0.428,0.819
0.144518,-0.12,0.717,0.418,0.839
0.147054,-0.146,0.753,0.414,0.872
0.149344,-0.174,0.796,0.414,0.914
0.156168,-0.203,0.839,0.416,0.958
0.156504,-0.236,0.879,0.421,1.003
0.157179,-0.27,0.907,0.425,1.037
0.159411,-0.315,0.922,0.428,1.064
0.162121,-0.364,0.925,0.427,1.082
0.16569,-0.417,0.916,0.425,1.093
0.172659,-0.475,0.905,0.421,1.105
0.177018,-0.73,0.952,0.353,1.251
0.179595,-0.789,1.023,0.323,1.332
0.182164,-0.846,1.094,0.303,1.416
