# Target Sample Rate: 400 Hz,,,,
# Max Device Sample Rate: 400 Hz,,,,
# Recording started at: 2026-02-07 14:07:28.678,,,,
time,Ï‰â‚“ (rad/s),Ï‰áµ§ (rad/s),Ï‰á¶» (rad/s),Ï‰_total (rad/s)
0.011408,0.16,-0.051,-0.115,0.204
0.024432,0.221,-0.135,-0.201,0.328
0.041121,0.188,-0.152,-0.182,0.303
0.056252,0.089,-0.136,-0.125,0.205
0.078685,0.005,-0.201,-0.09,0.22
0.094214,-0.069,-0.226,0.098,0.256
0.097951,-0.123,-0.141,0.265,0.325
0.100465,-0.13,-0.122,0.27,0.323
0.103146,-0.142,-0.1,0.273,0.323
0.105845,-0.152,-0.07,0.274,0.321
0.112279,-0.16,-0.025,0.266,0.312
0.115722,-0.184,0.089,0.24,0.315
0.118275,-0.192,0.109,0.23,0.319
0.120801,-0.201,0.121,0.222,0.323
0.123355,-0.207,0.125,0.214,0.323
0.129179,-0.216,0.127,0.208,0.325
0.129267,-0.221,0.127,0.202,0.326
0.130955,-0.226,0.131,0.204,0.332
0.133323,-0.23,0.138,0.207,0.338
0.135816,-0.227,0.15,0.213,0.346
0.138302,-0.223,0.171,0.222,0.358
0.145502,-0.217,0.197,0.231,0.373
0.148242,-0.194,0.294,0.268,0.443
0.150845,-0.19,0.324,0.288,0.473
0.153627,-0.184,0.352,0.304,0.5
0.156189,-0.181,0.373,0.32,0.523
0.163172,-0.179,0.388,0.336,0.544
0.163525,-0.179,0.399,0.352,0.561
0.163814,-0.183,0.399,0.368,0.572
0.166388,-0.19,0.389,0.388,0.581
0.168836,-0.197,0.376,0.407,0.588
0.171197,-0.205,0.361,0.426,0.595
0.179987,-0.219,0.348,0.446,0.607
0.183916,-0.271,0.293,0.523,0.658
0.186324,-0.282,0.286,0.539,0.672
0.18887,-0.294,0.278,0.555,0.687
0.196517,-0.306,0.273,0.564,0.697
0.199159,-0.346,0.273,0.6,0.744
0.201651,-0.357,0.279,0.608,0.759
0.204023,-0.368,0.286,0.619,0.775
0.206768,-0.38,0.297,0.631,0.794
0.213306,-0.391,0.306,0.644,0.813
0.213639,-0.404,0.316,0.656,0.833
0.214147,-0.414,0.324,0.666,0.848
0.216815,-0.418,0.327,0.675,0.859
0.219313,-0.422,0.327,0.683,0.867
0.221923,-0.423,0.324,0.691,0.873
0.22985,-0.421,0.318,0.697,0.874
0.234428,-0.371,0.335,0.688,0.851
0.236964,-0.351,0.346,0.684,0.843
0.23938,-0.33,0.356,0.678,0.833
0.246187,-0.304,0.353,0.68,0.824
0.249423,-0.233,0.192,0.738,0.798
0.251787,-0.209,0.111,0.77,0.806
0.254522,-0.182,0.029,0.808,0.828
0.262732,-0.156,-0.054,0.847,0.863
0.266914,-0.063,-0.359,0.993,1.058
0.269676,-0.045,-0.434,1.014,1.104
0.27202,-0.035,-0.516,1.024,1.147
0.279761,-0.023,-0.602,1.025,1.189
0.282181,-0.004,-0.876,0.968,1.306
0.284757,0.006,-0.961,0.93,1.338
0.289761,0.034,-1.119,0.813,1.384
0.296978,0.052,-1.215,0.739,1.423
0.299755,0.103,-1.678,0.545,1.768
0.302317,0.123,-1.895,0.504,1.964
0.30485,0.146,-2.121,0.472,2.177
0.316775,0.179,-2.354,0.456,2.404
0.319797,0.475,-3.29,0.472,3.358
0.322121,0.56,-3.412,0.47,3.489
0.332332,0.651,-3.518,0.46,3.607
0.334828,1.046,-3.868,0.364,4.023
0.339906,1.249,-4.076,0.304,4.274
0.348677,1.353,-4.187,0.282,4.41
0.352489,1.736,-4.663,0.241,4.982
0.355549,1.818,-4.779,0.242,5.119
0.364556,1.896,-4.892,0.252,5.253
0.36738,2.154,-5.279,0.345,5.712
0.36996,2.203,-5.359,0.388,5.807
0.372375,2.247,-5.425,0.44,5.888
0.380867,2.278,-5.486,0.5,5.961
0.385024,2.326,-5.648,0.8,6.16
0.387514,2.324,-5.669,0.883,6.19
0.397089,2.31,-5.678,0.967,6.205
0.400083,2.207,-5.607,1.253,6.155
0.402668,2.168,-5.556,1.319,6.108
0.40538,2.128,-5.492,1.388,6.051
0.413496,2.086,-5.417,1.455,5.984
0.417787,1.867,-4.991,1.739,5.606
0.420356,1.803,-4.861,1.808,5.491
0.423054,1.733,-4.727,1.88,5.374
0.42987,1.665,-4.59,1.948,5.257
0.432876,1.45,-4.174,2.134,4.907
